368 145097862
374 28198171
191 42337282
442 68117507
385 297191734
219 270992922
-73 11655497
-80 180951701
-481 31522381
417 190304490
-367 17867365
389 34164989
193 247524703
412 156102940
-469 2374072
-264 53685098
367 233724185
117 20614402
384 288991846
-319 222221077
98 764773
-428 98255203
-188 284191587
-319 82828033
235 224137510
-65 79701636
199 310302101
-152 36002204
416 3194671
-78 200665533
-74 29426347
342 274568654
-500 246148096
151 16837307
488 127146261
487 90295408
286 188625554
432 26438357
157 197985213
-167 12268711
-484 247812533
131 78755577
-315 194973190
-72 125835201
64 283521431
214 170966887
375 19018819
-195 66421399
-437 16732239
-229 13471806
-351 238433418
298 78124988
-487 72776850
-138 142307551
-177 6014354
-207 204093437
428 259363309
421 101313343
-474 284278010
-91 40312593
-380 258112371
-193 222308593
-461 151771988
193 194554187
-457 151803608
448 79492859
270 96875065
-247 103188031
-91 253353662
-148 290842392
-44 276825221
262 18761234
-10 237002192
123 294856262
-371 293146093
-386 72276293
287 251536253
181 282796561
435 145144272
284 290845227
370 155081911
-250 108274064
228 221564323
-244 45174545
317 5628587
-77 28387990
208 87473
297 152473277
462 267133394
-403 180295485
213 14199570
458 210556339
116 247937809
-250 176223534
35 26875762
155 287301676
-256 220366550
458 252992868
459 169692053
-175 196624000
189 11371331
-136 143903010
253 111701737
-24 241905334
325 175653199
377 8558658
474 243354300
48 262855337
222 206503490
161 72626384
477 119955654
398 211345694
116 10988144
-436 267224166
257 133986457
15 7498308
-432 29307697
-197 137271193
150 252875664
-389 80516899
416 142397319
-153 285543437
101 150252085
-145 306322832
72 20516290
-195 283478389
-106 64748855
-285 30857664
-487 246977888
-220 76668741
479 24633819
38 183975115
376 303372640
410 241698644
-209 290707449
343 69147099
-167 4798584
446 141722708
498 153667961
350 155085278
-227 131717964
-46 73821996
159 213758111
-102 182721240
-175 36753234
367 229743401
-88 209216108
484 170343781
-64 5823323
38 269135352
-278 315664423
284 28136366
67 199954292
-36 19136175
-395 258434787
443 138434641
-105 178665389
358 79005405
180 5360761
194 229174950
488 118886248
117 54411183
488 237731881
409 257485280
260 301303869
-76 316327941
434 265265196
26 303284873
-246 8530197
